show_id,Show Title,Year,Previews Date,Opening Date,Closing Date,Theatre Name,Production Type,Show Type,Show Type (Simple),Intermissions,N Performances,Run Time,Show Not Opened,Revival,Other Titles,Official Website,N People,N Performers,N Creative Team,theatre_id,Theatre Full Address,Theatre Street Address,Theatre Address Locality,Theatre Address Region,Theatre Postal Code,Theatre Year Closed,Theatre Year Demolished,Theatre Capacity
331416,Motown the Musical,2016,2016-07-12,2016-07-21,2016-07-31,Nederlander Theatre,Revival,Musical,Musical,1.0,,,False,True,,http//www.motownthemusical.com/,51,33,18,7047.0,208 W. 41st St. New York NY 10036,208 W. 41st St.,New York,NY,10036,,,1235.0
331468,Cats,2016,2016-07-14,2016-07-31,2017-12-30,Neil Simon Theatre,Revival,Musical,Musical,1.0,,,False,True,,http//www.catsthemusical.com/broadway,43,32,11,6985.0,250 W. 52nd St. New York NY 10019,250 W. 52nd St.,New York,NY,10019,,,1467.0
331552,Black to the Future,2016,2016-09-12,2016-09-12,2016-10-24,Marquis Theatre,Original Production,Play,Play,,,,False,False,,http//lewisblackonbroadway.com/,7,1,6,7040.0,1535 Broadway New York NY 10036,1535 Broadway,New York,NY,10036,,,1612.0
331549,The Encounter,2016,2016-09-20,2016-09-29,2017-01-08,,Premiere,Play,Play,0.0,,,False,False,,http//theencounterbroadway.com/,13,2,13,,,,,,,,,
331407,Holiday Inn: The New Irving Berlin Musical,2016,2016-09-01,2016-10-06,2017-01-15,Studio 54,Premiere,Musical,Musical,1.0,,,False,False,,http//www.roundabouttheatre.org/Shows-Ev,49,27,22,5132.0,254 West 54th St. New York NY,254 West 54th St.,New York,NY,,,,1006.0
331567,"Oh, Hello on Broadway",2016,2016-09-23,2016-10-10,2017-01-22,Lyceum Theatre (Broadway),Premiere,Play,Play,0.0,,,False,False,,http//oh-hello-k3g4.squarespace.com/home,10,2,9,7033.0,149 W. 45th St. New York NY 10036,149 W. 45th St.,New York,NY,10036,,,922.0
331482,Heisenberg,2016,2016-09-20,2016-10-13,2016-12-11,Samuel J. Friedman Theatre,Premiere,Play,Play,0.0,,,False,False,,http//heisenbergbroadway.com/,15,2,13,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
331524,The Cherry Orchard,2016,2016-09-15,2016-10-16,2016-12-04,American Airlines Theatre,Revival,Play,Play,1.0,,,False,True,,https//www.roundabouttheatre.org/Shows-E,40,18,22,5013.0,229 W. 42nd St. New York NY,229 W. 42nd St.,New York,NY,,,,740.0
331522,The Front Page,2016,2016-09-20,2016-10-20,2017-01-29,Broadhurst Theatre,Revival,Play,Play,,,,False,True,,http//thefrontpagebroadway.com/,43,27,16,5016.0,235 W. 44th St. New York NY,235 W. 44th St.,New York,NY,,,,1186.0
331205,Falsettos,2016,2016-09-29,2016-10-27,2017-01-08,Walter Kerr Theatre,Revival,Musical,Musical,1.0,,,False,True,,http//www.lct.org/shows/falsettos/,25,7,19,5537.0,219 West 48th St. New York NY,219 West 48th St.,New York,NY,,,,945.0
331535,Les Liaisons Dangereuses,2016,2016-10-08,2016-10-30,2017-01-08,Booth Theatre (Broadway),Revival,Play,Play,1.0,,,False,True,,http//liaisonsbroadway.com/,29,12,18,5334.0,222 West 45th St. New York NY,222 West 45th St.,New York,NY,,,,766.0
331634,Kristin Chenoweth: My Love Letter to Broadway,2016,2016-11-02,2016-11-02,2016-11-13,Lunt-Fontanne Theatre,Concert,Musical,Musical,,,,False,False,,http//www.kristinonbroadway.com/,4,1,3,5047.0,205 West 46th St. New York NY,205 West 46th St.,New York,NY,,,,1519.0
331435,"Natasha, Pierre and the Great Comet of 1812",2016,2016-10-18,2016-11-14,2017-09-03,Imperial Theatre (Broadway),Premiere,Musical,Musical,1.0,,,False,False,,http//greatcometbroadway.com/,46,32,14,5042.0,249 West 45th St. New York NY,249 West 45th St.,New York,NY,,,,1443.0
331649,Alton Brown Live: Eat Your Science,2016,2016-11-22,2016-11-22,2016-11-27,Ethel Barrymore Theatre,Premiere,Play,Play,1.0,,,False,False,,http//www.altonbrowntour.com/shows/new-y,2,1,2,5031.0,243 West 47th St. New York NY,243 West 47th St.,New York,NY,,,,1096.0
331546,The Illusionists- Turn of the Century,2016,2016-11-25,2016-11-25,2017-01-01,,Revival,Performance,Other,,,,False,True,,http//www.theillusionistslive.com/ticket,23,9,14,,,,,,,,,
331547,A Bronx Tale: The Musical,2016,2016-11-03,2016-12-01,2018-08-19,Longacre Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//abronxtalethemusical.com/,49,30,19,5211.0,220 West 48th Street New York NY,220 West 48th Street,New York,NY,,,,1091.0
331542,Dear Evan Hansen,2016,2016-11-14,2016-12-04,,Music Box Theatre,Premiere,Musical,Musical,1.0,,,False,False,,http//dearevanhansen.com/,32,13,20,5057.0,239 West 45th St. New York NY,239 West 45th St.,New York,NY,,,,1009.0
331568,In Transit,2016,2016-11-10,2016-12-11,2017-04-16,Circle in the Square (Broadway),Premiere,Musical,Musical,,,,False,False,,http//www.intransitbroadway.com/,28,16,12,5230.0,1633 Broadway at 50th St. New York NY,1633 Broadway at 50th St.,New York,NY,,,,840.0
331470,The Present,2017,2016-12-17,2017-01-08,2017-03-19,Ethel Barrymore Theatre,Premiere,Play,Play,1.0,,,False,False,,http//thepresentbroadway.com/,28,16,12,5031.0,243 West 47th St. New York NY,243 West 47th St.,New York,NY,,,,1096.0
331693,Jitney,2017,2016-12-28,2017-01-19,2017-03-12,Samuel J. Friedman Theatre,Revival,Play,Play,1.0,,,False,True,,http//www.manhattantheatreclub.com/2016-,31,13,18,6984.0,261 W. 47th St. New York NY,261 W. 47th St.,New York,NY,,,,650.0
331692,Sunset Boulevard,2017,2017-02-02,2017-02-09,2017-06-25,Palace Theatre (Broadway),Revival,Musical,Musical,1.0,,,False,True,,http//sunsetboulevardthemusical.com/,46,26,20,5060.0,1564 Broadway New York NY,1564 Broadway,New York,NY,,,,1743.0
331750,Sunday in the Park with George,2017,2017-02-11,2017-02-23,2017-04-23,Hudson Theatre (Broadway),Revival,Musical,Musical,1.0,,,False,True,,http//www.thehudsonbroadway.com/whatson/,49,22,27,6076.0,141 W. 44th St. New York NY,141 W. 44th St.,New York,NY,,,,1100.0
331575,Significant Other,2017,2017-02-14,2017-03-02,2017-04-23,Booth Theatre (Broadway),Premiere,Play,Play,1.0,,,False,False,,http//www.significantotherbroadway.com/,33,11,22,5334.0,222 West 45th St. New York NY,222 West 45th St.,New York,NY,,,,766.0
331548,The Glass Menagerie,2017,2017-02-07,2017-03-09,2017-05-21,Belasco Theatre,Revival,Play,Play,0.0,,,False,True,,http//glassmenagerieonbroadway.com,20,8,12,5205.0,111 West 44th St. New York NY,111 West 44th St.,New York,NY,,,,1018.0
331483,Come From Away,2017,2017-02-18,2017-03-12,,Gerald Schoenfeld Theatre,Premiere,Musical,Musical,0.0,,,False,False,,http//comefromaway.com/,27,15,12,5933.0,236 West 45th St. New York NY,236 West 45th St.,New York,NY,,,,1079.0
